,Câu hỏi,A,B,C,D,Câu trả lời đúng
571,Ngôn ngữ lập trình nào được sử dụng phổ biến để phát triển các ứng dụng iOS gốc?,Java,Python,Swift,Kotlin,C
572,Khái niệm Biến (Variable) trong lập trình dùng để làm gì?,Thực thi một lệnh,Lưu trữ một giá trị,Lặp lại một đoạn mã,Kiểm tra điều kiện,B
573,"Garbage Collection là một tính năng nổi bật của ngôn ngữ nào, giúp quản lý bộ nhớ tự động?",C,C++,Assembly,Java,D
574,"Framework nào thường được dùng để xây dựng giao diện người dùng web động (React, Vue, Angular)?",Back-end Framework,Data Framework,Front-end Framework,Database Framework,C
575,Ngôn ngữ lập trình nào được tạo ra để phục vụ cho các hệ thống nhúng và thời gian thực (real-time systems)?,PHP,C#,C,R,C
576,IDE (Integrated Development Environment) là gì?,Bộ nhớ máy tính,Môi trường phát triển tích hợp,Giao thức truyền tải dữ liệu,Ngôn ngữ lập trình,B
577,"Thuật ngữ ""Hello World"" trong lập trình mang ý nghĩa gì?",Tên biến,Chức năng chính,Chương trình đầu tiên để kiểm tra môi trường,Lỗi lập trình,C
578,PHP là ngôn ngữ lập trình chủ yếu được sử dụng ở đâu?,Ứng dụng di động,Lập trình nhúng,Lập trình Web Back-end,Lập trình game,C
579,API (Application Programming Interface) có vai trò gì?,Đồ họa máy tính,Quản lý bộ nhớ,Giao diện kết nối giữa các phần mềm,Thuật toán sắp xếp,C
580,Ngôn ngữ lập trình nào được phát triển bởi Google để giải quyết vấn đề hiệu suất và an toàn của C++?,Java,Rust,Go (Golang),Python,C
581,Git là hệ thống nào được sử dụng rộng rãi trong phát triển phần mềm?,Hệ thống quản lý cơ sở dữ liệu,Hệ thống kiểm tra lỗi,Hệ thống kiểm soát phiên bản (Version Control),Hệ thống quản lý dự án,C
582,Ngôn ngữ nào được sử dụng để định kiểu (Style) cho các trang web HTML?,JavaScript,Python,SQL,CSS,D
583,Thẻ <p> trong HTML dùng để định nghĩa thành phần gì?,Hình ảnh,Liên kết,Đoạn văn bản (Paragraph),Tiêu đề,C
584,Ngôn ngữ lập trình nào nổi tiếng với sự ra đời của nền tảng .NET?,Java,C,C#,Ruby,C
585,Recursion (Đệ quy) là gì?,Một kiểu dữ liệu,Một loại vòng lặp,Hàm tự gọi lại chính nó,Một lỗi lập trình,C
586,Browser (Trình duyệt) có vai trò gì trong lập trình web?,Lưu trữ cơ sở dữ liệu,"Hiển thị nội dung từ mã HTML, CSS, JavaScript",Chạy mã Python,Mã hóa dữ liệu,B
587,Thuật ngữ nào mô tả quá trình biến đổi mã nguồn thành chương trình thực thi mà không cần biên dịch trước?,Biên dịch (Compiling),Xây dựng (Building),Thông dịch (Interpreting),Đóng gói (Packaging),C
588,"Cấu trúc dữ liệu nào hoạt động theo nguyên tắc FIFO (Vào trước, Ra trước)?",Stack (Ngăn xếp),Linked List (Danh sách liên kết),Queue (Hàng đợi),Tree (Cây),C
589,Tên miền (Domain Name) được phân giải thành gì khi người dùng truy cập web?,Địa chỉ MAC,Cổng kết nối,Địa chỉ IP,Tên máy chủ,C
590,"Trong C/C++, loại bộ nhớ nào được cấp phát thủ công bởi lập trình viên và phải được giải phóng thủ công?",Stack,Global,Heap,Static,C
591,Ngôn ngữ lập trình nào thường được sử dụng trong các hệ thống yêu cầu hiệu suất cao và kiểm soát phần cứng?,Python,JavaScript,Ruby,C++,D
592,Lập trình viên Front-end chủ yếu tập trung vào phần nào của ứng dụng?,Logic nghiệp vụ máy chủ,Giao diện người dùng và trải nghiệm,Cơ sở dữ liệu,Bảo mật mạng,B
593,Boolean là một kiểu dữ liệu dùng để lưu trữ giá trị gì?,Số nguyên,Chuỗi văn bản,Số thập phân,Đúng (True) hoặc Sai (False),D
594,Cấu trúc điều kiện nào được sử dụng khi cần kiểm tra nhiều trường hợp giá trị của cùng một biến?,If-else,While loop,For loop,Switch-case,D
595,Framework React được phát triển và duy trì chủ yếu bởi công ty nào?,Google,Microsoft,Meta (Facebook),Amazon,C
596,Callback Function trong JavaScript là gì?,Hàm được gọi đầu tiên,Hàm xử lý lỗi,Hàm được truyền làm đối số và gọi sau,Hàm chính của chương trình,C
597,TypeScript là một phiên bản mở rộng (superset) của ngôn ngữ nào?,Python,C++,JavaScript,Java,C
598,Mã máy (Machine Code) là mã được viết bằng ngôn ngữ nào?,Cao cấp,Thông dịch,Nhị phân (Binary),Hợp ngữ (Assembly),C
599,Hợp chất nào tạo nên thành phần chính của nước biển?,Natri florua,Kali clorua,Magie sunfat,Natri clorua (NaCl),D
600,Phản ứng trung hòa là phản ứng giữa loại chất nào?,Kim loại và phi kim,Oxit axit và oxit bazơ,Axit và Bazơ,Muối và nước,C
601,Đơn vị cơ bản để đo lượng chất trong Hóa học là gì?,Gram,Lít,Kilogram,Mol,D
602,Ozon (O3) là một dạng thù hình của nguyên tố nào?,Carbon,Nitơ,Oxy,Hydro,C
603,Quỳ tím chuyển màu gì khi gặp dung dịch có tính Bazơ (kiềm)?,Đỏ,Không màu,Xanh lá,Xanh dương,D
604,Kim loại nào được sử dụng phổ biến nhất để chế tạo vỏ máy bay do nhẹ và bền?,Sắt,Đồng,Titan,Nhôm,D
605,Nước đá khô là tên gọi của chất nào?,Nước đông lạnh,Khí Nitơ lỏng,Carbon dioxide rắn,Metan rắn,C
606,Công thức hóa học của axit sunfuric là gì?,HCl,HNO3,H3PO4,H2SO4,D
607,Độ pH bằng 7 biểu thị dung dịch có tính chất gì?,Axit,Bazơ,Muối,Trung tính,D
608,"Chất nào được gọi là ""Axit mạnh nhất"" trong phòng thí nghiệm?",Axit clohidric,Axit nitric,Axit pecloric,Axit sunfuric,C
609,Phản ứng tỏa nhiệt là phản ứng có đặc điểm gì?,Hấp thụ nhiệt,Giải phóng năng lượng dưới dạng nhiệt,Không thay đổi nhiệt độ,Tăng áp suất,B
610,Nguyên tố nào có kí hiệu hóa học là Fe?,Đồng,Bạc,Vàng,Sắt,D
611,Polyme là gì?,Một loại kim loại,Một hợp chất hữu cơ đơn giản,Hợp chất có khối lượng phân tử lớn,Một chất khí,C
612,Phản ứng quang hợp ở thực vật chuyển hóa năng lượng ánh sáng thành năng lượng dưới dạng hợp chất nào?,Protein,Xenlulozơ,Glucose,Lipid,C
613,Thuốc thử nào được dùng để nhận biết tinh bột?,Axit HCl,Nước vôi trong,Dung dịch Iốt,Thuốc tím,C
614,Điện tích của hạt Proton là gì?,Âm,Không,Dương,Trung tính,C
615,Khí nào chiếm tỷ lệ lớn nhất trong không khí?,Oxy,Carbon dioxide,Hơi nước,Nitơ,D
616,Hóa trị của nguyên tố Oxy trong hầu hết các hợp chất là bao nhiêu?,I,III,IV,II,D
617,Phản ứng xà phòng hóa là phản ứng thủy phân chất nào?,Tinh bột,Protein,Axit béo,Chất béo (Triglyceride),D
618,Bảng tuần hoàn các nguyên tố được sắp xếp dựa trên đại lượng nào?,Khối lượng nguyên tử,Số khối,Số hiệu nguyên tử (Z),Độ âm điện,C
619,Kim loại kiềm (nhóm IA) có bao nhiêu electron ở lớp ngoài cùng?,2,3,7,1,D
620,Hiện tượng thăng hoa là sự chuyển từ trạng thái nào sang trạng thái nào?,Rắn sang lỏng,Lỏng sang khí,Rắn sang khí,Khí sang lỏng,C
621,Khí thải nào là nguyên nhân chính gây ra hiệu ứng nhà kính?,Metan,CFCs,SO2,Carbon dioxide (CO2),D
622,Ethanol là loại rượu có công thức hóa học nào?,CH3OH,C4H9OH,C2H5OH,C3H7OH,C
623,"Trong hợp chất H2O, liên kết hóa học giữa H và O là loại liên kết gì?",Liên kết ion,Liên kết kim loại,Liên kết cộng hóa trị phân cực,Liên kết cộng hóa trị không phân cực,C
624,Thuốc muối (Baking Soda) có công thức hóa học là gì?,CaCO3,NaOH,Na2CO3,NaHCO3,D
625,Hiện tượng ăn mòn kim loại là quá trình nào?,Oxy hóa,Thủy phân,Oxy hóa - Khử,Trung hòa,C
626,Chất nào là thành phần chính của cao su thiên nhiên?,Vinyl clorua,Butadien,Isopren,Styren,C
627,Thủy tinh chủ yếu được làm từ chất nào?,Canxi cacbonat,Đồng oxit,Silic dioxit (SiO2),Nhôm oxit,C
628,Phản ứng nhiệt phân là phản ứng cần điều kiện gì?,Ánh sáng,Áp suất cao,Nhiệt độ,Xúc tác,C
629,Khí Clo (Cl2) có màu gì ở điều kiện thường?,Không màu,Đen,Đỏ nâu,Vàng lục,D
630,Kim loại nào có tính khử mạnh nhất trong các kim loại kiềm?,Natri,Kali,Liti,Franxi,D
631,Axit axetic (giấm ăn) có công thức hóa học là gì?,HCOOH,C2H4(OH)2,CH3COOH,C3H7COOH,C
632,Đơn vị tính toán khối lượng nguyên tử và phân tử là gì?,Gram,Mol,Đơn vị khối lượng nguyên tử (amu),Kilogram,C
633,Nước cứng là nước chứa nhiều ion kim loại nào?,Natri và Kali,Sắt và Đồng,Canxi và Magie,Nhôm và Chì,C
634,Hiện tượng đồng phân trong Hóa học hữu cơ là gì?,"Cùng công thức phân tử, khác công thức đơn giản nhất","Cùng công thức cấu tạo, khác khối lượng","Cùng công thức phân tử, khác công thức cấu tạo","Khác công thức phân tử, cùng công thức cấu tạo",C
635,Thành phần chính của xi măng là gì?,Natri clorua,Canxi nitrat,Canxi silicat,Kali oxit,C
636,Liên kết Ion hình thành do sự trao đổi electron giữa loại nguyên tố nào?,Phi kim và phi kim,Phi kim và khí hiếm,Kim loại và kim loại,Kim loại và phi kim,D
637,Chất xúc tác có vai trò gì trong phản ứng hóa học?,Thay đổi sản phẩm,Cung cấp nhiệt,Làm tăng tốc độ phản ứng,Ngăn chặn phản ứng,C
638,"Trong ngành công nghiệp, Amoniac (NH3) được sản xuất bằng quy trình nào?",Quy trình Ostwald,Quy trình Haber-Bosch,Quy trình Solvay,Quy trình Bergius,B
639,Khối lượng riêng của nước đạt giá trị lớn nhất ở nhiệt độ bao nhiêu?,0°C,100°C,10°C,4°C,D
640,Hạt nhân nguyên tử được cấu tạo từ các hạt nào?,Electron và Proton,Electron và Nơtron,Proton và Nơtron,Chỉ có Proton,C
641,Phản ứng este hóa là phản ứng giữa loại chất nào?,Axit và bazơ,Ancol và ete,Axit hữu cơ và Ancol,Amin và axit,C
642,Axit Clohidric (HCl) là thành phần chính của chất lỏng nào trong cơ thể con người?,Mồ hôi,Nước bọt,Dịch vị dạ dày,Nước tiểu,C
643,Phân bón NPK cung cấp cho cây trồng những nguyên tố chính nào?,"Natri, Kali, Canxi","Nitơ, Phốt pho, Lưu huỳnh","Nitơ, Phốt pho, Kali","Natri, Phốt pho, Canxi",C
644,Phản ứng thế là phản ứng đặc trưng của loại hydrocarbon nào?,Anken,Ankin,Ankadien,Ankan,D
645,Khí metan (CH4) là thành phần chính của loại khí đốt nào?,Khí hóa lỏng (LPG),Khí than,Khí dầu mỏ,Khí thiên nhiên,D
646,Dung dịch là hỗn hợp đồng nhất của những thành phần nào?,Chất rắn và chất lỏng,Chất tan và dung môi,Chất tan và chất kết tủa,Chất lỏng và chất khí,B
647,Giải bóng đá Champions League là giải đấu danh giá nhất cấp câu lạc bộ thuộc khu vực nào?,Châu Mỹ,Châu Á,Châu Âu,Toàn thế giới,C
648,Olympic Mùa đông được tổ chức mấy năm một lần?,2 năm,3 năm,4 năm,5 năm,C
649,"Trong môn Cờ Vua, quân cờ nào có thể đi theo hình chữ L?",Tượng (Bishop),Xe (Rook),Hậu (Queen),Mã (Knight),D
650,Tên gọi khác của môn thể thao Bóng bầu dục Mỹ là gì?,Rugby,Soccer,American Football,Gaelic Football,C
651,Giải đấu NBA là giải bóng rổ chuyên nghiệp của quốc gia nào?,Canada,Tây Ban Nha,Hoa Kỳ,Hy Lạp,C
652,"Tìm số tiếp theo trong dãy: 2, 5, 10, 17, 26, ?",35,36,37,38,C
653,"Nếu ""Dịch vụ"" đổi thành ""VICUDH"", thì ""Thực phẩm"" sẽ đổi thành gì?",PMUFCHUT,PMUFCHUT,FUTUCHPM,PMFUCHUT,D
654,"Số nào trong dãy sau là khác biệt: 16, 25, 36, 49, 62, 81?",25,49,62,81,C
655,"Một người có 10 đôi tất. Trong bóng tối, cần lấy ít nhất bao nhiêu chiếc tất để đảm bảo có được một đôi cùng màu?",3,11,20,11,B
656,"Nếu 4 con mèo bắt 4 con chuột trong 4 phút, thì cần bao nhiêu con mèo để bắt 100 con chuột trong 100 phút?",100,50,25,4,D
657,"Nhiều đối với ""Ít"" giống như ""Ánh sáng"" đối với ""?""",Nóng,Mặt trời,Tối,Ban ngày,C
658,Tổng các số từ 1 đến 100 là bao nhiêu?,5000,5051,5050,4950,C
659,"Ba người cùng qua một chiếc cầu chỉ chịu được tải trọng tối đa 150 kg. Trọng lượng của họ lần lượt là 50 kg, 60 kg, và 100 kg. Họ cần ít nhất bao nhiêu lần qua cầu để tất cả sang sông?",4 lần,6 lần,5 lần,7 lần,C
660,"Trong một cuộc đua, nếu bạn vượt qua người thứ hai, bạn đang ở vị trí thứ mấy?",Thứ nhất,Thứ hai,Thứ ba,Thứ tư,B
661,"Nếu một hình lập phương được sơn 6 mặt và cắt thành 27 hình lập phương nhỏ bằng nhau, có bao nhiêu hình lập phương nhỏ không có mặt nào được sơn?",1,4,8,1,A
662,"Nếu hôm qua là Ngày mai của Ngày hôm nay, thì hôm nay là ngày gì?",Chủ nhật,Thứ hai,Thứ tư,Thứ sáu,C
663,Một người cha có 4 con gái. Mỗi con gái có 4 anh em. Hỏi gia đình đó có tổng cộng bao nhiêu người con?,8,16,20,5,D
664,"Nếu bạn có 5000 đồng, cần phải mua tối thiểu bao nhiêu quả trứng (giá 1000 đồng/quả) để số tiền còn lại là số nguyên tố?",1 quả,2 quả,3 quả,4 quả,C
665,Trăm đối với Một giống như Ngàn đối với ?,Một,Mười,Một trăm,Một trăm,C
666,"Một tờ giấy được gấp đôi 4 lần. Hỏi sau đó, bạn đục một lỗ, sẽ có bao nhiêu lỗ trên tờ giấy khi mở ra?",4,8,12,16,D
667,"Khái niệm ""Paradox"" có nghĩa là gì?",Định lý hiển nhiên,Sự thật đã được chứng minh,Nghịch lý,Lỗi logic,C
668,"Nếu A = 1, B = 2, C = 3, thì ""Logic"" có tổng là bao nhiêu?",45,42,39,44,D
669,"Trong dãy số 2, 4, 8, 16, 32, số nào là khác biệt?",4,16,32,Không có,D
670,"Nếu ""Hoa"" là ""Động vật"", và ""Chó"" là ""Thực vật"", thì ""Mèo"" là gì?",Động vật,Thực vật,Thực vật,Hoa,C
671,"Số nào là số lẻ duy nhất trong dãy: 12, 18, 24, 30, 36, 41?",30,36,41,12,C
672,Nửa của Hai cộng Hai là bao nhiêu?,2,3,3,4,C
673,"Một chiếc xe buýt dừng lại ở 6 trạm. Có 10 người lên trạm đầu tiên. Sau đó, ở mỗi trạm, 3 người lên và 2 người xuống. Hỏi có bao nhiêu người trên xe buýt khi rời trạm cuối cùng?",16,12,18,15,D
674,"Tìm số tiếp theo trong dãy: 1, 8, 27, 64, 125, ?",180,200,216,216,C
675,"Nếu ""EGG"" = 77, và ""TEA"" = 33, thì ""COFFEE"" = ? (Quy tắc: tổng vị trí chữ cái x số lượng chữ cái)",180,200,210,210,D
676,Trong một căn phòng có 4 anh em. Mỗi anh em có một chị gái. Hỏi căn phòng đó có tổng cộng bao nhiêu người?,8,5,9,5,D
677,Nếu bạn có 50 que diêm. Bạn phải sắp xếp chúng thành 2 hình vuông hoàn toàn giống nhau. Bạn cần bao nhiêu que diêm để làm mỗi hình vuông?,25,10,20,12.5 (Không thể),D
678,"Trái tim đối với ""Ngực"" giống như ""Gan"" đối với ""?""",Đầu,Chân,Mông,Bụng,D
679,"Một hình vuông có chu vi bằng 20 cm. Nếu bạn dùng diện tích của hình vuông đó để tạo thành một hình chữ nhật có chiều dài gấp đôi chiều rộng, thì chu vi hình chữ nhật là bao nhiêu?",20 cm,24 cm,25 cm,30 cm,D
680,"Tìm chữ cái tiếp theo trong dãy: A, C, F, J, O, ?",S,T,V,U,D
681,"Trong dãy số 3, 5, 8, 12, 17, ?, số nào cần thay thế dấu hỏi?",21,22,23,23,C
682,"Nếu ngày 10 của một tháng là Chủ nhật, thì ngày 22 cùng tháng là thứ mấy?",Thứ Hai,Thứ Năm,Thứ Sáu,Thứ Bảy,C
683,Chiếc đồng hồ điện tử nào không có số 1?,Đồng hồ hiển thị giờ lẻ,Đồng hồ có kim,Đồng hồ số La Mã,Đồng hồ đeo tay,C
684,"Số nào khác biệt: 121, 144, 169, 196, 215, 225, ?",144,169,196,215,D
685,"Thuật ngữ nào chỉ việc lặp lại một đoạn nhạc ngắn theo một khuôn mẫu nhất định, thường dùng trong nhạc điện tử và Hip-hop?",Cadenza,Bridge,Chorus,Loop,D
686,Giải thưởng Grammy nào được coi là danh giá nhất trong mỗi kỳ trao giải?,Best New Artist,Song of the Year,Album of the Year,Record of the Year,C
687,Bản giao hưởng nào của Beethoven được sáng tác khi ông đã bị điếc hoàn toàn và bao gồm cả phần hợp xướng?,Giao hưởng số 5,Giao hưởng số 3,Giao hưởng số 6,Giao hưởng số 9,D
688,Dòng nhạc nào có đặc trưng là sự ngẫu hứng (Improvisation) và Blue Note?,Blues,Rock and Roll,Country,Jazz,D
689,A Cappella là hình thức âm nhạc nào?,Hát đơn,Hát không có nhạc cụ đệm,Hát cùng dàn nhạc,Hát đôi,B
690,"Bảy nốt cơ bản trong âm nhạc (Đô, Rê, Mi, Fa, Sol, La, Si) được gọi chung là gì?",Chromatic Scale,Pentatonic Scale,Major Scale,Diatonic Scale,D
691,Nhạc cụ cổ truyền Việt Nam nào thuộc bộ gõ và được làm bằng tre?,Đàn bầu,Đàn Tỳ Bà,Đàn Nhị,T'rưng,D
692,Thành phố Thủ Đức (TP. Hồ Chí Minh) được thành lập trên cơ sở sáp nhập 3 quận nào?,"Quận 1, Quận 2, Quận 3","Quận 9, Quận 10, Quận Thủ Đức","Quận 2, Quận 9, Quận Thủ Đức","Quận 4, Quận 7, Quận 9",C
693,"Tỉnh nào là nơi có đèo Hải Vân chạy qua, sau khi thành phố Đà Nẵng được tách ra?",Quảng Nam,Thừa Thiên Huế,Quảng Trị,Quảng Ngãi,B
694,Huyện đảo nào được đề xuất trở thành thành phố đảo đầu tiên của tỉnh Kiên Giang?,Nam Du,Thổ Chu,Bà Lụa,Phú Quốc,D
695,"Vườn quốc gia Phong Nha - Kẻ Bàng nằm trên địa bàn tỉnh nào, được UNESCO công nhận là Di sản Thiên nhiên Thế giới?",Quảng Nam,Thừa Thiên Huế,Quảng Bình,Hà Tĩnh,C
696,Thành phố nào được coi là cửa ngõ du lịch và kinh tế của vùng Đồng bằng sông Cửu Long?,Long Xuyên,Rạch Giá,Cà Mau,Cần Thơ,D
697,Tỉnh nào ở vùng Đông Bắc có cửa khẩu quốc tế lớn thông sang Trung Quốc và một phần tiếp giáp với Vịnh Hạ Long?,Lạng Sơn,Cao Bằng,Thái Nguyên,Quảng Ninh,D
698,"Sau khi điều chỉnh, tỉnh nào ở vùng Tây Nguyên có diện tích lớn nhất?",Đắk Nông,Kon Tum,Gia Lai,Đắk Lắk,C
699,"Địa điểm nào được coi là ""nóc nhà"" của khu vực Đông Nam Bộ?",Núi Bà Rá,Núi Bà Đen,Núi Chứa Chan,Núi Dinh,B
700,"Tỉnh nào của Việt Nam được chia thành hai vùng khí hậu rõ rệt: phía Bắc có khí hậu cận nhiệt đới, phía Nam có khí hậu nhiệt đới gió mùa?",Quảng Nam,Quảng Bình,Thừa Thiên Huế,Hà Tĩnh,C
701,Khu kinh tế Vũng Áng (một trong những khu kinh tế trọng điểm) nằm tại tỉnh nào?,Quảng Bình,Quảng Trị,Hà Tĩnh,Thanh Hóa,C
702,Đảo lớn thứ hai của Việt Nam (sau đảo Phú Quốc) là đảo nào?,Côn Đảo,Cát Bà,Hòn Tre,Lý Sơn,B
703,Đường Trường Sơn (Đường Hồ Chí Minh) hiện nay chạy qua bao nhiêu tỉnh/thành phố?,15,18,20,22,C
704,Thành phố Đà Nẵng hiện có tổng cộng bao nhiêu quận và huyện?,"5 quận, 1 huyện","6 quận, 2 huyện","7 quận, 1 huyện","8 quận, 0 huyện",B
705,Tỉnh duy nhất ở Việt Nam không có rừng là tỉnh nào?,Bạc Liêu,Sóc Trăng,Hải Dương,Hưng Yên,D
706,"Tỉnh nào có ranh giới tiếp giáp với biển Đông, Lào, và Campuchia?",Đắk Nông,Đồng Tháp,Kon Tum,An Giang,C
707,Vịnh biển nào của Việt Nam được UNESCO công nhận là Di sản Thiên nhiên Thế giới?,Vịnh Nha Trang,Vịnh Vân Phong,Vịnh Bái Tử Long,Vịnh Hạ Long,D
708,"Thành phố nào của Việt Nam được mệnh danh là ""Thành phố Hoa Phượng Đỏ""?",Hải Dương,Nam Định,Hải Phòng,Hạ Long,C
709,Phạm vi lãnh hải của Việt Nam được xác định là bao nhiêu hải lý tính từ đường cơ sở?,6 hải lý,24 hải lý,12 hải lý,200 hải lý,C
710,GPT trong ChatGPT là viết tắt của cụm từ nào?,General Processing Technology,Great Programming Tool,Generative Pre-trained Transformer,Global Prediction Training,C
711,"Khái niệm ""Turing Test"" dùng để đánh giá điều gì của một hệ thống AI?",Tốc độ xử lý,Khả năng lập trình,Khả năng hiển thị hành vi giống con người,Khả năng lưu trữ dữ liệu,C
712,Trí tuệ Nhân tạo Tổng quát (AGI) là gì?,AI chỉ thực hiện một nhiệm vụ,AI dùng cho game,AI có khả năng thực hiện bất kỳ nhiệm vụ nhận thức nào của con người,AI chỉ dành cho Robotics,C
713,Tham số (Parameters) của mô hình GPT-3.5 là bao nhiêu tỷ?,100 tỷ,175 tỷ,540 tỷ,1 nghìn tỷ,B
714,AI tạo sinh (Generative AI) là loại AI chuyên về lĩnh vực gì?,Phân tích dữ liệu,Dự đoán thị trường,"Tạo nội dung mới (văn bản, hình ảnh, âm thanh)",Kiểm soát chất lượng,C
715,Deep Learning là một tập hợp con của lĩnh vực nào?,Robotics,Big Data,Machine Learning,Cybersecurity,C
716,"Khi sử dụng ChatGPT, người dùng tương tác bằng cách nhập vào ""prompt"". Prompt có nghĩa là gì?",Lỗi,Kết quả,Yêu cầu hoặc câu lệnh đầu vào,Cấu hình,C
717,Mô hình AI nào được Google phát triển và là đối thủ cạnh tranh chính của GPT?,LaMDA,PaLM,Gemini,BERT,C
718,Token trong ChatGPT là gì?,Một từ,Một câu,"Một đơn vị nhỏ hơn từ (có thể là một từ, một phần từ, hoặc ký tự)",Một đoạn văn,C
719,FireGroup là một trong những đối tác chiến lược hàng đầu của nền tảng Thương mại điện tử nào?,BigCommerce,WooCommerce,Shopify,Magento,C
720,Dropshipping là mô hình kinh doanh mà người bán làm gì?,Tự sản xuất và đóng gói hàng hóa,Mua hàng tồn kho số lượng lớn và bán lại,Bán hàng mà không cần giữ hàng tồn kho,Chỉ bán hàng hóa kỹ thuật số,C
721,"Khi tìm kiếm sản phẩm, thuật ngữ ""Saturation"" (Bão hòa) ám chỉ điều gì?",Sản phẩm đã lỗi thời,Giá sản phẩm quá cao,Sản phẩm được quá nhiều Dropshipper khác bán,Sản phẩm có trọng lượng quá lớn,C
722,AliExpress thường là nguồn cung cấp hàng hóa cho Dropshipping từ quốc gia nào?,Mỹ,Trung Quốc,Ấn Độ,Đức,B
723,"Mô hình Print on Demand (POD), một biến thể của Dropshipping, có đặc điểm gì?",Sản phẩm được in ấn/tạo ra sau khi có đơn hàng,"Chỉ bán quần áo, không bán phụ kiện",Bắt buộc phải nhập khẩu từ Mỹ,Phải có số lượng tồn kho lớn,A
724,Call-To-Action (CTA) trên trang sản phẩm có vai trò gì?,Giới thiệu về công ty,"Kêu gọi khách hàng thực hiện hành động (như ""Thêm vào giỏ hàng"")",Hiển thị thông tin vận chuyển,Chứng minh nguồn gốc sản phẩm,B
725,Upselling là chiến lược bán hàng nào?,Bán sản phẩm liên quan (Add-ons),"Đề nghị khách hàng mua phiên bản nâng cấp, đắt tiền hơn của sản phẩm",Giảm giá để thu hút khách hàng,Bán sản phẩm giá rẻ hơn,B
726,Voice Commerce là xu hướng bán hàng qua thiết bị nào?,Thiết bị di động,Thiết bị nhận lệnh bằng giọng nói (như loa thông minh Amazon Echo),Máy tính cá nhân,Máy bán hàng tự động,B
727,"Ở Ấn Độ, con vật nào được coi là linh thiêng và không được ăn thịt?",Lợn,Gà,Bò,Dê,C
728,"Cử chỉ ""Okay"" (ngón cái và ngón trỏ chạm nhau tạo thành vòng tròn) ở Brazil có ý nghĩa gì?",Chúc mừng,Khen ngợi,Tương đương với cử chỉ thô lỗ,Đồng ý,C
729,Tượng Nhân sư (Sphinx) nổi tiếng nằm ở quốc gia nào?,Hy Lạp,Ai Cập,Thổ Nhĩ Kỳ,Iraq,B.
730,8. Lễ hội Diwali (Lễ hội Ánh sáng) được tổ chức chủ yếu ở quốc gia nào?,Thái Lan,Nhật Bản,Ấn Độ,Mexico,C.
731,9. Quốc gia nào có nền văn hóa lâu đời với các nhân vật như Mulan và Khổng Tử?,Hàn Quốc,Trung Quốc,Việt Nam,Mông Cổ,B.
732,Món ăn truyền thống Kimchi là biểu tượng ẩm thực của quốc gia nào?,Trung Quốc,Nhật Bản,Hàn Quốc,Việt Nam,C.
733,17. Đồ uống nào sau đây là linh hồn của văn hóa người Thổ Nhĩ Kỳ và thường được phục vụ trong những cốc nhỏ?,Bia,Rượu vang,Cà phê Thổ Nhĩ Kỳ,Nước ngọt,C.
734,Địa điểm tổ chức Lễ trao giải Grammy thường niên là thành phố nào của Mỹ?,New York,Miami,Los Angeles,Chicago,C
735,Cơ quan nào chịu trách nhiệm tổ chức và bầu chọn Giải thưởng Grammy?,Billboard,RIAA,Recording Academy (Viện Hàn lâm Thu âm),MTV,C
736,Ai là người bỏ phiếu cuối cùng để quyết định người chiến thắng các hạng mục Grammy?,Công chúng bình chọn,Hội đồng chuyên gia của ban tổ chức,Các thành viên có quyền bỏ phiếu của Recording Academy,Các nhà phê bình âm nhạc,C
737,Ai là nghệ sĩ giữ kỷ lục nhiều giải Grammy nhất trong lịch sử tính đến hiện tại?,Michael Jackson,Beyoncé,Georg Solti,Taylor Swift,C
738,ực lượng vũ trang của Mặt trận Dân tộc Giải phóng miền Nam Việt Nam được thành lập năm 1961 có tên là gì?,Quân đội Nhân dân Việt Nam,Giải phóng quân,Việt Minh,Không có tên gọi chính thức,B
739,Chiến lược chiến tranh nào của Mỹ được thực hiện trong giai đoạn 1961–1965?,Chiến tranh Cục bộ,Chiến tranh Đặc biệt,Việt Nam hóa chiến tranh,Chiến tranh Tổng lực,B
740,Phong trào Đồng khởi nổ ra mạnh mẽ nhất ở đâu vào năm 1960?,Sài Gòn,Miền Tây Nam Bộ,Bến Tre,Khu V,C
741,Tuyến đường chi viện chiến lược cho miền Nam Việt Nam trong suốt cuộc chiến có tên là gì?,Đường 1A,Đường Trường Sơn (Đường Hồ Chí Minh),Đường xuyên Á,Đường 9,B
742,Chiến lược chiến tranh nào của Mỹ được thực hiện trong giai đoạn 1969–1973?,Chiến tranh Đặc biệt,Chiến tranh Cục bộ,Việt Nam hóa chiến tranh,Vành đai lửa,C
743,"Tổng thống Mỹ nào đã đưa ra học thuyết ""Việt Nam hóa chiến tranh""?",Lyndon B. Johnson,Richard Nixon,John F. Kennedy,Jimmy Carter,B
744,Cuộc đàm phán lịch sử nào đã diễn ra tại Pháp từ năm 1968 đến 1973?,Hội nghị Postdam,Hội nghị Paris,Hội nghị San Francisco,Hội nghị Washington,B
745,"Trận Điện Biên Phủ trên không diễn ra vào tháng 12 năm 1972, có vai trò gì?","Đánh bại hoàn toàn không quân Mỹ, buộc Mỹ ký Hiệp định Paris",Chấm dứt chiến tranh ở miền Nam Việt Nam,Thống nhất đất nước,Mở đầu cuộc chiến,A
746,Choose the correct form: She ... to the gym every day.,go,goes,going,went,B
